,Vehicle_label,Utilities,Probabilities,Routes_taken,Gamma,Eta
48,48,"[-3.9665914158867652, -4.136048485149231]","[0.542263180955579, 0.45773681904442104]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]",0.927294113155303,0.9486473741024476
49,49,"[-4.083101962718518, -4.249223433402714]","[0.5414351233126742, 0.4585648766873259]","[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0]",1.0526646491262392,0.9501407758002895
50,50,"[-7.4909110478705845, -7.334307535198824]","[0.4609289395860161, 0.539071060413984]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0.769568553464038,1.2433346252171695
51,51,"[-5.2679789514163025, -5.528666790583114]","[0.5648053703819251, 0.4351946296180749]","[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]",1.209706321495167,1.0458955042138904
52,52,"[-2.6211145815122783, -2.6796195065812416]","[0.5146220607740202, 0.48537793922597994]","[0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1.143177521827464,0.7230748607059547
53,53,"[-2.442733339109012, -2.503136376801312]","[0.5150961698036104, 0.4849038301963897]","[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",0.7740878370113587,0.7071105833399853
54,54,"[-3.3272453277329808, -3.442008452419881]","[0.5286593330834203, 0.4713406669165799]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0]",0.9420323192784856,0.8597341859991553
55,55,"[-13.095555783244693, -14.354324051206605]","[0.778813999096913, 0.22118600090308702]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",1.404988360686166,1.3528960375363719
56,56,"[-3.7919735550325764, -3.9500885243048454]","[0.5394465950050286, 0.4605534049949714]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]",1.0187853514849423,0.9139227083755516
57,57,"[-3.6098134497075516, -3.760131820278739]","[0.5375089910076895, 0.46249100899231055]","[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]",0.9315334573651809,0.8978417156932259
58,58,"[-3.347431759544982, -3.476559711973136]","[0.5322372068758436, 0.4677627931241564]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0.9970771157926468,0.8555447637025487
59,59,"[-8.396324731492994, -9.119496845656641]","[0.6733051553964862, 0.32669484460351383]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1.1254328449527125,1.2270455854941176
60,60,"[-2.384445731631136, -2.435204737597228]","[0.5126870276225796, 0.4873129723774205]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1]",1.0644451283238026,0.6717179576651489
61,61,"[-6.356985994639812, -6.824966100089568]","[0.614905563153852, 0.385094436846148]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1398225362510466,1.1195852362162362
62,62,"[-7.041903916829253, -7.704117004645346]","[0.6597573525693718, 0.3402426474306281]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.8944824272742546,1.1863122449567869
63,63,"[-5.276170891333272, -5.556298414712248]","[0.5695774877172316, 0.4304225122827684]","[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]",1.2323965122105134,1.0378220884900833
